station,chan,evid,tw,snr0,Null,ang,dt,snrf,rec,cc
ALMT,EN,122751,0.15,3.42,False,0.0,0.08,4.04,0.6107794397720219,0.7442122739304551
ALMT,EN,122758,0.3300000000000002,3.78,False,135.0,0.005,3.82,0.6326366705580211,0.7631389616910924
ALMT,EN,122764,0.15,3.1,False,75.0,0.005,3.12,0.6482209836821609,0.7796099063705286
ALMT,EN,122767,0.18000000000000002,1.46,False,149.0,0.315,1.82,0.5732662230717361,0.6912747643864406
ALMT,EN,122783,0.15,4.04,False,115.0,0.08,4.05,0.7446803868875836,0.8335142880011832
ALMT,EN,122784,0.28000000000000014,2.25,False,119.0,0.315,2.37,0.6450973294861062,0.7681351467700692
ALMT,EN,122788,0.18000000000000002,3.85,False,129.0,0.155,4.68,0.6895620573327161,0.8210836081309205
ALMT,EN,122801,0.20000000000000004,2.15,False,95.0,0.665,2.16,0.7890566643094159,0.7538677585212545
ALMT,EN,122802,0.17,1.78,False,89.0,0.29,2.55,0.46001817683597845,0.5338526005902641
ALMT,EN,122804,0.15,3.09,False,8.0,0.105,3.11,0.610816089664147,0.7241252831019026
ALMT,EN,122833,0.15,3.91,False,122.0,0.025,3.97,0.5770795153271226,0.6732575881465033
ALMT,EN,122834,0.15,3.71,False,116.0,0.03,3.72,0.45817228051912073,0.4718320402921186
ALMT,EN,122835,0.15,3.76,False,137.0,0.015,3.79,0.5780222299338225,0.692082744949304
ALMT,EN,122837,0.15,2.25,False,159.0,0.09,2.67,0.7153874034547826,0.8509734823198699
ALMT,EN,122843,0.15,3.2,False,146.0,0.095,3.39,0.7653050328653673,0.8614879600507296
ALMT,EN,122844,0.19000000000000003,2.74,False,149.0,0.44,4.9,0.6572152713188069,0.7193184350214525
ALMT,EN,122846,0.22000000000000006,3.08,False,137.0,0.065,3.17,0.6763510886129073,0.811896601603238
ALMT,EN,122870,0.18000000000000002,4.08,False,76.0,0.06,4.09,0.7503430753796954,0.8726728201820033
ALMT,EN,122872,0.15,3.5,False,107.0,0.01,3.51,0.7267325559745259,0.8600335901503159
ALMT,EN,122877,0.15,4.32,False,21.0,0.095,4.83,0.7860515510802717,0.8872086160585919
ALMT,EN,122887,0.40000000000000024,2.34,True,92.0,0.21,2.35,0.6464620351667187,0.545083936142662
ALMT,EN,122900,0.18000000000000002,3.81,False,123.0,0.15,4.65,0.7097968139309551,0.8442084130608128
ALMT,EN,122921,0.15,2.97,False,123.0,0.51,3.03,0.6916878130909274,0.7909481921861289
ALMT,EN,122952,0.15,1.62,False,12.0,0.28500000000000003,2.65,0.6986128398399098,0.7890042597349672
ALMT,EN,122954,0.15,3.51,False,133.0,0.075,3.96,0.6949997892960529,0.8246107103954857
ALMT,EN,122955,0.16,4.26,False,143.0,0.075,4.99,0.676387199920064,0.7924845593717975
ALMT,EN,122962,0.15,4.01,False,30.0,0.025,4.02,0.5711441065446792,0.6706162892475863
ALMT,EN,122966,0.3200000000000002,5.74,False,105.0,0.005,5.78,0.7113059416485754,0.8467552608740804
ALMT,EN,122968,0.15,4.32,False,122.0,0.02,4.34,0.6153100930674518,0.7404507717572615
ALMT,EN,122969,0.15,3.88,False,113.0,0.015,3.89,0.5700801771060664,0.6891819770393615
ALMT,EN,122970,0.15,3.93,False,130.0,0.02,3.95,0.5994183102599822,0.720712023664439
ALMT,EN,122971,0.15,2.51,False,113.0,0.09,3.0,0.6518099562414565,0.7859204190365263
ALMT,EN,122980,0.16,4.34,False,122.0,0.015,4.36,0.6918733352155246,0.826606418569926
ALMT,EN,122989,0.40000000000000024,4.61,True,122.0,0.005,4.62,0.7103585822771014,0.8444532196734316
ALMT,EN,122990,0.15,2.35,False,115.0,0.135,3.79,0.7246336689305273,0.8208973169555842
ALMT,EN,123003,0.15,2.61,False,132.0,0.145,2.62,0.6672568571957063,0.7942882753628593
ALMT,EN,123053,0.40000000000000024,3.4,True,82.0,0.075,3.41,0.5947284074934578,0.28151882996059296
ALMT,EN,123128,0.15,6.42,False,169.0,0.035,6.46,0.6486084550364555,0.7798828383302252
ALMT,EN,123129,0.15,2.85,False,129.0,0.14,3.67,0.6406254760727064,0.7737352176857288
ALMT,EN,123169,0.2500000000000001,3.58,False,110.0,0.525,3.59,0.7072530531336628,0.6884132748814915
ALMT,EN,123184,0.15,4.79,False,10.0,0.015,4.8,0.25265196095360365,0.2553909596089047
ALMT,EN,123216,0.15,3.43,False,157.0,0.085,3.44,0.630713035819449,0.6656220022448602
ALMT,EN,123231,0.19000000000000003,2.41,False,147.0,0.215,2.99,0.5632103018308824,0.67877671141531
ALMT,EN,123288,0.2600000000000001,3.04,False,98.0,0.23,3.3,0.49057508498725966,0.5895020381247376
ALMT,EN,123309,0.15,4.11,False,158.0,0.095,4.12,0.7078490902985852,0.8420723412423042
ALMT,EN,123388,0.39000000000000024,3.66,False,72.0,0.17500000000000002,3.68,0.7429055567063416,0.7637016726473793
ALMT,EN,123390,0.15,6.91,False,39.0,0.075,6.99,0.6925792026067603,0.8243403628599765
ALMT,EN,123446,0.15,3.88,False,19.0,0.11,5.25,0.721627603241223,0.8127070003436456
ALMT,EN,123451,0.15,3.66,False,96.0,0.07,3.68,0.706936544110755,0.8353473547446673
ALMT,EN,123467,0.15,4.49,False,132.0,0.01,4.51,0.6393813171768987,0.7702971999688651
ALMT,EN,123471,0.21000000000000005,5.9,False,172.0,0.005,5.91,0.6539552102891005,0.7839131699667433
ALMT,EN,123514,0.16,4.21,False,127.0,0.015,4.22,0.6179814313212999,0.7439822564925368
ALMT,EN,123519,0.15,5.04,False,17.0,0.105,5.69,0.7775361393550708,0.8218731167616093
ALMT,EN,123535,0.16,6.96,False,171.0,0.055,6.99,0.7764130548947241,0.9046858692586838
ALMT,EN,123554,0.15,5.43,False,81.0,0.095,6.17,0.7214734339329596,0.8281821821649203
ALMT,EN,123613,0.17,2.54,False,105.0,0.005,2.55,0.5427200131350254,0.618638574819076
ALMT,EN,123635,0.15,3.76,False,125.0,0.11,3.77,0.7670166838593667,0.7113151414117319
ALMT,EN,123662,0.15,3.02,False,45.0,0.165,5.1,0.7051381973516195,0.7399399070031419
ALMT,EN,123728,0.17,7.61,False,112.0,0.01,7.67,0.7042375055918001,0.8385619337909528
ALMT,EN,123737,0.15,3.62,False,20.0,0.08,3.64,0.5398032189120159,0.6407891223563579
ALMT,EN,123752,0.20000000000000004,7.75,False,167.0,0.01,8.06,0.6930783864866042,0.8265176806006398
ALMT,EN,123867,0.15,2.47,False,138.0,0.305,3.13,0.6520486932245976,0.7822965825265961
ALMT,EN,123958,0.40000000000000024,3.92,False,106.0,0.065,3.93,0.6825149948014383,0.8128742405175371
ALMT,EN,123960,0.3400000000000002,3.79,False,79.0,0.13,3.82,0.6779534303769049,0.6812007620630073
