evid,evname,lat,lon,depth,UTCtime,mb,ms,ml
121894,201801070657.0,33.0657,35.6186,0.0,2018-01-07 06:58:51.110,,1.0,
121907,201801150916.0,33.1112,35.6163,11.7266,2018-01-15 09:17:19.730,,1.5,
121909,201801161656.0,32.9988,35.6644,5.178,2018-01-16 16:57:17.330,,0.8,
121922,201801250827.0,33.3802,35.8379,6.9636,2018-01-25 08:28:39.630,,1.6,
121928,201801271543.0,33.0751,35.6003,13.5364,2018-01-27 15:44:59.520,,1.2,
121937,201802022302.0,33.07,35.6232,0.0,2018-02-02 23:04:02.610,,0.3,
121983,201802261330.0,33.2198,35.483,8.8595,2018-02-26 13:32:47.900,,1.0,
121984,201802261503.0,33.206,35.4928,11.8897,2018-02-26 15:04:37.450,,1.7,1.5
121989,201803010942.0,33.3312,35.6128,5.5038,2018-03-01 09:44:21.850,,1.1,
121992,201803020408.0,33.0148,35.5671,3.0241,2018-03-02 04:10:22.480,,0.8,
121998,201803070853.0,32.9907,35.6423,15.1372,2018-03-07 08:54:37.260,,1.2,
122006,201803140415.0,33.2892,35.8036,14.6127,2018-03-14 04:15:42.060,,1.6,
122015,201803200712.0,33.2634,35.591,2.0469,2018-03-20 07:14:02.510,,1.6,
122022,201803221722.0,32.9972,35.6114,14.5798,2018-03-22 17:23:00.490,,0.8,
122033,201803301808.0,32.8457,35.5845,0.3943,2018-03-30 18:10:33.030,,1.6,
122045,201804010015.0,33.2043,35.6974,8.2873,2018-04-01 00:17:41.210,,1.2,
122047,201804032212.0,32.9615,35.6345,22.2641,2018-04-03 22:14:06.650,,1.1,
122049,201804051743.0,33.1069,35.6106,19.2904,2018-04-05 17:43:57.430,,1.2,
122068,201804180940.0,33.1278,35.6484,0.1955,2018-04-18 09:41:50.900,,1.5,
122070,201804190541.0,32.9344,35.6358,23.2321,2018-04-19 05:42:48.760,,1.5,
122073,201804201702.0,32.9261,35.6293,15.7812,2018-04-20 17:04:15.620,,1.6,
122077,201804240101.0,32.9033,35.5622,0.4764,2018-04-24 01:02:55.650,,1.6,
122078,201804261418.0,32.9989,35.5902,0.0,2018-04-26 14:20:01.760,,0.9,
122079,201804272142.0,32.5359,35.5538,21.9825,2018-04-27 21:43:30.430,,1.5,
122089,201804301810.0,33.2094,35.4829,13.742,2018-04-30 18:11:06.850,,1.1,
122090,201805020409.0,33.1469,35.7125,6.6082,2018-05-02 04:11:18.250,,1.3,
122097,201805041445.0,33.1643,35.4224,0.0,2018-05-04 14:47:47.380,,0.9,
122102,201805050505.0,33.0874,35.6209,15.5278,2018-05-05 05:07:06.030,,1.3,
122103,201805050506.0,33.0627,35.6214,8.6956,2018-05-05 05:08:05.020,,1.2,
122125,201805102141.0,32.9744,35.3772,6.4345,2018-05-10 21:43:06.900,,0.7,
122129,201805131905.0,32.9774,35.6353,23.4118,2018-05-13 19:06:07.230,,0.9,
122136,201805152314.0,33.246,35.4311,16.1241,2018-05-15 23:16:11.260,,0.8,
122138,201805160808.0,33.0056,35.6248,19.749,2018-05-16 08:10:04.960,,1.4,
122144,201805181542.0,33.3442,35.6647,7.2831,2018-05-18 15:44:21.670,,2.1,1.9
122147,201805191405.0,33.1889,35.6038,18.5071,2018-05-19 14:06:47.320,,2.0,1.7
122164,201805252338.0,32.8321,35.5505,15.4149,2018-05-25 23:39:46.050,,1.2,
122166,201805272313.0,32.8829,35.5715,0.4835,2018-05-27 23:14:20.180,,1.1,
122169,201805280311.0,32.871,35.5849,0.0,2018-05-28 03:13:09.080,,1.8,
122173,201805291705.0,32.8727,35.583,0.0,2018-05-29 17:07:39.580,,1.5,
122178,201806012044.0,33.0607,35.7105,19.329,2018-06-01 20:45:52.230,,1.0,
122180,201806020828.0,32.997,35.5588,1.0501,2018-06-02 08:30:19.280,,1.6,1.3
122186,201806071406.0,32.9413,35.622,16.2262,2018-06-07 14:08:04.260,,1.9,1.8
122188,201806072346.0,32.6242,35.6212,4.473,2018-06-07 23:47:19.550,,3.0,3.2
122195,201806090228.0,32.6172,35.6239,4.7671,2018-06-09 02:29:16.220,,2.0,1.8
122196,201806090326.0,32.6275,35.6149,20.4689,2018-06-09 03:28:16.850,,1.5,
122210,201806140044.0,32.6038,35.591,0.4323,2018-06-14 00:46:06.410,,1.3,
122211,201806140644.0,33.2335,35.7246,1.4511,2018-06-14 06:46:02.750,,1.6,
122212,201806141047.0,32.5984,35.3018,7.2816,2018-06-14 10:49:15.410,,1.7,
122214,201806151118.0,32.5926,35.602,0.0,2018-06-15 11:19:15.890,,1.6,1.4
122216,201806151556.0,32.5808,35.6185,7.1187,2018-06-15 15:58:33.600,,1.1,
122217,201806151656.0,33.1824,35.5937,9.8667,2018-06-15 16:58:45.510,,0.9,
122220,201806171333.0,32.9716,35.6084,11.9732,2018-06-17 13:35:03.590,,1.3,
122223,201806182142.0,33.1064,35.7228,10.4189,2018-06-18 21:43:30.500,,0.5,
122228,201806211445.0,33.2625,35.5886,0.0557,2018-06-21 14:47:44.780,,1.6,
122233,201806222349.0,32.915,35.4019,5.3877,2018-06-22 23:51:46.810,,0.9,
122235,201806230756.0,32.7881,35.3645,19.7224,2018-06-23 07:58:34.960,,1.3,
122239,201806272050.0,32.9254,35.6278,19.6366,2018-06-27 20:51:42.230,,1.1,
122246,201807020558.0,32.8742,35.5912,9.0628,2018-07-02 05:59:34.980,,2.3,2.0
122247,201807020609.0,32.8542,35.5915,10.5674,2018-07-02 06:10:59.650,,1.7,
122249,201807040148.0,32.862,35.576,9.1491,2018-07-04 01:50:07.040,,4.2,
122250,201807040153.0,32.8607,35.5815,10.3499,2018-07-04 01:54:26.530,,2.0,
122251,201807040156.0,32.8564,35.569,8.6059,2018-07-04 01:58:13.890,,3.0,3.2
