station,evid,pickTime
ALMT,122751,2018-07-18 21:24:37.669
ALMT,122758,2018-07-20 01:10:40.500
ALMT,122764,2018-07-20 18:53:01.993
ALMT,122767,2018-07-21 01:58:39.742
ALMT,122783,2018-07-22 19:34:36.684
ALMT,122784,2018-07-22 22:22:50.033
ALMT,122788,2018-07-24 08:13:17.707
ALMT,122801,2018-07-25 13:42:45.494
ALMT,122802,2018-07-26 00:41:46.464
ALMT,122804,2018-07-26 01:39:53.222
ALMT,122833,2018-07-28 14:59:37.581
ALMT,122834,2018-07-28 15:00:26.377
ALMT,122835,2018-07-28 15:11:58.672
ALMT,122837,2018-07-28 19:03:58.197
ALMT,122843,2018-07-28 23:49:45.384
ALMT,122844,2018-07-28 23:52:39.819
ALMT,122846,2018-07-29 00:27:06.719
ALMT,122870,2018-07-30 08:03:44.264
ALMT,122872,2018-07-30 12:39:42.361
ALMT,122877,2018-07-30 20:58:58.796
ALMT,122887,2018-07-31 16:45:45.337
ALMT,122900,2018-08-01 09:40:43.886
ALMT,122921,2018-08-04 03:07:17.075
ALMT,122952,2018-08-08 04:48:09.891
ALMT,122954,2018-08-08 21:09:24.433
ALMT,122955,2018-08-08 22:10:34.862
ALMT,122962,2018-08-10 14:40:54.755
ALMT,122966,2018-08-10 23:34:12.150
ALMT,122968,2018-08-11 10:49:51.821
ALMT,122969,2018-08-11 22:56:20.629
ALMT,122970,2018-08-11 23:03:59.963
ALMT,122971,2018-08-11 23:59:17.722
ALMT,122980,2018-08-13 09:39:38.985
ALMT,122989,2018-08-17 07:53:15.633
ALMT,122990,2018-08-17 13:09:40.842
ALMT,123003,2018-08-21 15:16:05.370
ALMT,123053,2018-09-05 14:49:25.410
ALMT,123128,2018-10-02 02:44:32.552
ALMT,123129,2018-10-02 04:47:58.848
ALMT,123169,2018-10-12 07:45:17.253
ALMT,123184,2018-10-17 22:59:32.057
ALMT,123216,2018-10-31 21:57:42.210
ALMT,123231,2018-11-04 15:06:26.747
ALMT,123288,2018-11-27 00:48:27.111
ALMT,123309,2018-12-14 14:06:04.075
ALMT,123388,2019-02-02 12:03:59.810
ALMT,123390,2019-02-04 00:59:55.642
ALMT,123446,2019-03-19 01:31:52.107
ALMT,123451,2019-03-20 14:55:36.152
ALMT,123467,2019-04-01 01:27:04.433
ALMT,123471,2019-04-04 12:26:11.756
ALMT,123514,2019-05-03 17:35:25.191
ALMT,123519,2019-05-05 16:28:35.740
ALMT,123535,2019-05-15 17:37:41.709
ALMT,123554,2019-05-23 23:01:12.318
ALMT,123613,2019-06-15 10:06:58.665
ALMT,123635,2019-06-23 20:07:43.770
ALMT,123662,2019-07-01 19:20:22.491
ALMT,123728,2019-08-11 06:59:33.647
ALMT,123737,2019-08-21 23:45:00.208
ALMT,123752,2019-09-01 22:04:10.128
ALMT,123867,2019-11-02 14:07:17.372
ALMT,123958,2019-12-01 13:20:21.912
ALMT,123960,2019-12-03 02:06:51.008
ALMT,123981,2019-12-09 23:05:41.488
ALMT,123987,2019-12-10 18:07:12.296
